variable_id,variable,inspection_grade,ablation_screen_category,split,dose,primary_dose,intervention_kind,target_feature,intervention_feature,feature_high_side,steering_side,train_target_activation_gap,steering_coefficient,baseline_downstream_score,steered_downstream_score,mean_attenuation,attenuation_fraction,attenuation_ci_low,attenuation_ci_high,attenuation_bootstrap_p,mean_final_repr_cosine_to_baseline
1,Subject expression / pro-drop,C,specific_positive,val,2.0,False,matched_control,8041,7247,changed,basis,0.007096752524375895,0.01419350504875179,0.5333303213119507,0.5368441939353943,-0.00351383239030838,-0.006588472940493292,-0.004858143471181393,-0.0022524703666567812,0.0009995002498750624,0.9999991625525075
1,Subject expression / pro-drop,C,specific_positive,val,2.0,False,matched_control,8041,1302,changed,basis,0.007096752524375895,0.01419350504875179,0.5333303213119507,0.5329523086547852,0.0003779837489128113,0.0007087235317560813,-0.0009182029366493226,0.0015417538508772834,0.5547226386806596,0.9999992032482358
1,Subject expression / pro-drop,C,specific_positive,test,0.5,False,target,8041,8041,changed,basis,0.007096752524375895,0.0035483762621879474,0.5156303644180298,0.5151382684707642,0.0004920589923858642,0.0009542862995301496,-0.0006141670942306519,0.0016440360844135282,0.4427786106946527,0.9999992362844605
1,Subject expression / pro-drop,C,specific_positive,test,0.5,False,matched_control,8041,9728,changed,basis,0.007096752524375895,0.0035483762621879474,0.5156303644180298,0.5144729018211365,0.0011574804782867431,0.0022447872704183013,-5.8317616581916794e-05,0.0023785466551780694,0.07296351824087956,0.9999991942033505
1,Subject expression / pro-drop,C,specific_positive,test,0.5,False,matched_control,8041,7247,changed,basis,0.007096752524375895,0.0035483762621879474,0.5156303644180298,0.5139482617378235,0.0016820508241653443,0.0032621252359018925,0.0004931260645389556,0.0028046672940254197,0.0079960019990005,0.9999992260054387
1,Subject expression / pro-drop,C,specific_positive,test,0.5,False,matched_control,8041,1302,changed,basis,0.007096752524375895,0.0035483762621879474,0.5156303644180298,0.5155423283576965,8.797585964202881e-05,0.00017061807394008584,-0.0010210549980401993,0.0012535886019468293,0.8925537231384307,0.9999992433420879
1,Subject expression / pro-drop,C,specific_positive,test,1.0,True,target,8041,8041,changed,basis,0.007096752524375895,0.007096752524375895,0.5156303644180298,0.5150778293609619,0.0005524319410324097,0.0010713720121116534,-0.0006579717248678207,0.0017812451422214502,0.34382808595702147,0.9999992024954012
1,Subject expression / pro-drop,C,specific_positive,test,1.0,True,matched_control,8041,9728,changed,basis,0.007096752524375895,0.007096752524375895,0.5156303644180298,0.5140716433525085,0.0015587151050567628,0.0030229311782598734,0.0003379502445459366,0.002800463497638702,0.01199400299850075,0.9999991881510434
1,Subject expression / pro-drop,C,specific_positive,test,1.0,True,matched_control,8041,7247,changed,basis,0.007096752524375895,0.007096752524375895,0.5156303644180298,0.5163070559501648,-0.0006767749786376953,-0.0013125196368168554,-0.002063742309808731,0.0007471518218517293,0.3748125937031484,0.9999991722613369
1,Subject expression / pro-drop,C,specific_positive,test,1.0,True,matched_control,8041,1302,changed,basis,0.007096752524375895,0.007096752524375895,0.5156303644180298,0.5150551795959473,0.0005751693248748779,0.0011154682977680091,-0.0008344179391860962,0.0019103141129016847,0.39980009995002497,0.9999992192066114
1,Subject expression / pro-drop,C,specific_positive,test,2.0,False,target,8041,8041,changed,basis,0.007096752524375895,0.01419350504875179,0.5156303644180298,0.5164275169372559,-0.0007972604036331176,-0.0015461859088398563,-0.002139896109700203,0.000597776859998703,0.25487256371814093,0.9999990456352619
1,Subject expression / pro-drop,C,specific_positive,test,2.0,False,matched_control,8041,9728,changed,basis,0.007096752524375895,0.01419350504875179,0.5156303644180298,0.5144258737564087,0.0012044429779052735,0.002335865110008945,0.00013101384043693543,0.0023403519243001933,0.026986506746626688,0.9999990651257508
1,Subject expression / pro-drop,C,specific_positive,test,2.0,False,matched_control,8041,7247,changed,basis,0.007096752524375895,0.01419350504875179,0.5156303644180298,0.5188624858856201,-0.0032321500778198244,-0.00626834705800892,-0.004839123785495759,-0.001639462903141977,0.0009995002498750624,0.9999990525736178
1,Subject expression / pro-drop,C,specific_positive,test,2.0,False,matched_control,8041,1302,changed,basis,0.007096752524375895,0.01419350504875179,0.5156303644180298,0.5158485770225525,-0.0002182692289352417,-0.00042330561580017297,-0.001759026050567627,0.0011973446756601324,0.7926036981509246,0.9999990329420066
2,basic_constituent_order,C,positive_control_advantage,val,0.5,False,target,932,932,changed,basis,0.016185056505492,0.008092528252746,0.8003606200218201,0.8005053997039795,-0.00014452897012233733,-0.0001805798117833397,-0.0012970298202708364,0.001027275135740637,0.8265867066466767,0.999998913072327
