variable_id,variable,selection_slot,selection_basis,train_effect,val_effect,specificity_rank,specificity_ratio,feature_id,top_examples,unique_top_tokens,unique_languages
6,transitivity_valency,2,train_fwer_plus_val_direction,-0.9179275035858154,-0.9451308846473694,1,1.0599344655301202,6102,20,1,3
10,morphological_segmentation_type,1,original_trainval_selected,-0.7077662348747253,-0.5309546589851379,1,5.114620424222409,6125,20,2,1
39,deixis_and_perspective_anchoring,4,train_fwer_only,-0.6227716207504272,0.0,1,1.498058422043783,6132,20,5,4
23,aspect_and_event_structure,1,original_trainval_selected,-0.7045249938964844,-0.259358674287796,1,1.876893253709653,6216,20,10,2
9,analytic_vs_synthetic_encoding,4,train_fwer_plus_val_direction,-0.5538341403007507,-0.1563293188810348,1,1.091543161487459,6379,20,19,3
19,inclusive_exclusive_distinction,4,train_fwer_plus_val_direction,-0.7621657848358154,-0.4970814287662506,1,1.8744305035492017,6385,20,1,1
30,conditional_and_counterfactual_marking,2,train_fwer_plus_val_direction,0.8258181214332581,0.1002021208405494,1,1.8642621799815429,6546,20,5,3
9,analytic_vs_synthetic_encoding,1,original_trainval_selected,-0.5021765828132629,-0.5613006949424744,1,1.5500768587537568,6579,20,1,1
17,animacy_and_humanness,2,train_fwer_plus_val_direction,0.4999631643295288,0.15873683989048,2,0.8281194065097687,6618,20,6,6
24,modality_and_mood,4,train_fwer_plus_val_direction,0.5250482559204102,0.5703625679016113,3,0.8745465240668256,6645,20,14,3
34,topic_comment_structure,2,train_fwer_plus_val_direction,-0.6856691241264343,-0.4045546054840088,1,1.2527807338941992,6760,20,1,1
25,epistemic_modality,5,train_fwer_plus_val_direction,0.7317522168159485,0.3714672029018402,1,1.4216977204574024,6863,20,5,3
26,evidentiality,4,train_fwer_plus_val_direction,0.8795073628425598,0.760705828666687,1,3.0171381028551987,6900,20,2,1
20,pronoun_richness_and_reduction,3,train_fwer_plus_val_direction,-0.8313592672348022,-0.8597320914268494,1,1.2609370258059214,6944,20,11,7
33,discourse_relation_marking,4,train_fwer_only,-0.8826311826705933,0.0727877914905548,3,0.921929824452178,7036,20,5,4
25,epistemic_modality,3,train_fwer_plus_val_direction,0.5936572551727295,0.3937509953975677,1,1.6093595712862625,7096,20,9,6
35,focus_and_given_new_marking,1,original_trainval_selected,0.6991597414016724,0.4188220798969269,1,1.3446213958875517,7136,20,2,2
12,optionality_vs_obligatoriness_of_marking,2,train_fwer_plus_val_direction,-0.402793288230896,-0.2770830690860748,1,1.4303779878739338,7165,20,5,4
5,morphosyntactic_alignment,1,original_trainval_selected,-0.6954706907272339,-0.6925016641616821,10,0.7713202343563562,7247,20,1,4
8,causativity_and_valency_change,4,train_fwer_plus_val_direction,-0.8697184920310974,-0.9399282336235046,2,0.9645718792204074,7247,20,1,4
20,pronoun_richness_and_reduction,1,original_trainval_selected,-0.8233422636985779,-0.8004065752029419,1,1.5176888756653228,7551,20,1,1
31,subordination_and_embedding,1,original_trainval_selected,0.9267303943634032,0.91140878200531,1,1.973788827737118,7643,20,6,4
3,nominal_modifier_order,4,train_fwer_plus_val_direction,-0.5686416029930115,-0.1414213478565216,2,0.8691097554287571,7775,20,1,1
2,basic_constituent_order,3,train_fwer_plus_val_direction,0.6794646978378296,0.6657874584197998,1,1.5085774132220928,7834,20,6,2
21,possession_and_alienability,4,train_fwer_plus_val_direction,0.6047208905220032,0.5456935167312622,10,0.6646253357590065,7918,20,11,6
3,nominal_modifier_order,5,train_fwer_plus_val_direction,0.6698550581932068,0.2563788890838623,3,0.7391450614957635,8006,20,5,1
1,Subject expression / pro-drop,2,train_fwer_plus_val_direction,0.863140881061554,0.962331771850586,3,0.9209517185159736,8041,20,11,3
11,agreement_indexing_density,5,train_fwer_plus_val_direction,0.8845422267913818,0.8835543990135193,1,1.161551939180402,8113,20,16,9
15,number_marking,1,original_trainval_selected,0.7615175843238831,0.2035120129585266,2,0.8609171628654039,8113,20,16,9
10,morphological_segmentation_type,3,train_fwer_plus_val_direction,-0.7315304279327393,-0.6426119208335876,1,2.0640896443717307,8119,20,6,4
22,tense_prominence,4,train_fwer_plus_val_direction,0.4066634476184845,0.487965852022171,3,0.7096276740086356,8134,20,1,5
8,causativity_and_valency_change,1,original_trainval_selected,0.8939546346664429,0.9339605569839478,2,0.9926839704923122,8182,20,13,4
7,voice_and_agent_prominence,1,original_trainval_selected,0.8548974990844727,0.9214052557945251,1,1.6570877042909269,8235,20,11,5
35,focus_and_given_new_marking,4,train_fwer_plus_val_direction,0.7021234035491943,0.3807081580162048,1,1.1379464775627104,8334,20,1,1
27,mirativity_stance_and_affect_marking,3,train_fwer_plus_val_direction,-0.9619462490081788,-0.9873464703559875,1,1.0558685672690806,8362,20,6,4
1,Subject expression / pro-drop,1,original_trainval_selected,0.8691208362579346,0.1011118665337562,1,1.1489836902845056,8431,20,9,1
29,quantifier_scope_and_distributivity,1,original_trainval_selected,0.7004773616790771,0.4748110175132751,1,1.2730067829077398,8551,20,17,6
21,possession_and_alienability,2,train_fwer_plus_val_direction,-0.6268336772918701,-0.5676026344299316,2,0.8753947341587127,8666,20,11,7
15,number_marking,3,train_fwer_only,0.7831133604049683,-0.5596941709518433,1,1.4553339080765977,8685,20,3,2
15,number_marking,4,train_fwer_only,0.753474235534668,-0.4725283086299896,1,1.057343300747556,8793,20,16,8
11,agreement_indexing_density,3,train_fwer_plus_val_direction,0.834149181842804,0.790851354598999,1,1.5901836925820068,8911,20,1,2
25,epistemic_modality,2,train_fwer_plus_val_direction,0.6050129532814026,0.2914895713329315,1,1.6203827148777274,8920,20,11,7
18,person_marking_and_person_hierarchy,5,train_fwer_plus_val_direction,0.3877711594104767,0.1848892271518707,2,0.7114291197627447,8975,20,14,3
2,basic_constituent_order,5,train_fwer_plus_val_direction,0.7684685587882996,0.7739357352256775,1,1.3648438843114488,9064,20,12,6
4,case_marking,2,train_fwer_plus_val_direction,0.5862047672271729,0.7269218564033508,1,1.7271141505088417,9071,20,3,1
37,social_deixis_honorifics_status_encoding,4,train_fwer_plus_val_direction,0.8623298406600952,0.6055989265441895,1,1.5419130344701235,9261,20,5,1
27,mirativity_stance_and_affect_marking,5,train_fwer_plus_val_direction,-0.9617652297019958,-0.9866378307342528,1,1.055671738433665,9535,20,10,5
21,possession_and_alienability,1,original_trainval_selected,0.4911506474018097,0.5159186720848083,1,1.2205696096828624,9576,20,6,5
12,optionality_vs_obligatoriness_of_marking,1,original_trainval_selected,0.4039496183395386,0.5193761587142944,1,1.526488104321451,9607,20,3,2
39,deixis_and_perspective_anchoring,2,train_fwer_plus_val_direction,-0.7627482414245605,-0.4721175134181976,7,0.8834003091019393,9622,20,2,6
26,evidentiality,2,train_fwer_plus_val_direction,0.8776636123657227,0.0869390144944191,1,3.535483223459389,9646,20,2,4
40,orthographic_and_tokenization_interface,3,train_fwer_plus_val_direction,-0.4552224576473236,-0.1980896294116974,5,0.7467144474557976,9673,20,4,4
33,discourse_relation_marking,2,train_fwer_only,-0.8808785080909729,0.068820796906948,3,0.9410267716575544,9675,20,6,5
33,discourse_relation_marking,1,original_trainval_selected,-0.8808950781822205,-0.1116095930337905,3,0.9462949674398632,9728,20,10,5
13,redundancy_cumulative_exponence,1,original_trainval_selected,-0.6812930107116699,-0.8364554643630981,1,2.8895455769807104,9749,20,1,1
2,basic_constituent_order,1,original_trainval_selected,0.8227548599243164,0.8065271973609924,1,1.7534949603427383,9791,20,14,8
5,morphosyntactic_alignment,2,train_fwer_plus_val_direction,-0.6921006441116333,-0.6740755438804626,10,0.7315929416142496,9810,20,6,2
4,case_marking,3,train_fwer_plus_val_direction,-0.4803972542285919,-0.4313595294952392,1,1.7001214805139686,9920,20,1,1
1,Subject expression / pro-drop,4,train_fwer_plus_val_direction,0.8559886813163757,0.9625152349472046,4,0.9038684159661964,10169,20,1,1
7,voice_and_agent_prominence,5,train_fwer_plus_val_direction,0.929797351360321,0.9603086709976196,1,1.4186542065322034,10398,20,2,1
23,aspect_and_event_structure,5,train_fwer_plus_val_direction,-0.6554080247879028,-0.2431407570838928,2,0.7048934091165365,10398,20,2,1
30,conditional_and_counterfactual_marking,3,train_fwer_plus_val_direction,0.7863895297050476,0.1414213478565216,1,1.7886208191002742,10407,20,1,1
12,optionality_vs_obligatoriness_of_marking,5,train_fwer_plus_val_direction,-0.4239047169685364,-0.96464604139328,2,0.9659638221000963,10454,20,1,1
9,analytic_vs_synthetic_encoding,5,train_fwer_plus_val_direction,-0.5058714747428894,-0.1414213627576828,2,0.9449182579403732,10578,20,3,2
13,redundancy_cumulative_exponence,5,train_fwer_plus_val_direction,0.7677280902862549,0.7307533025741577,1,2.253532905698261,10612,20,13,3
26,evidentiality,5,train_fwer_plus_val_direction,0.876357913017273,0.7142457365989685,1,2.576552113778845,10641,20,1,1
3,nominal_modifier_order,2,train_fwer_plus_val_direction,-0.5695620775222778,-0.1972762942314148,1,1.2974003158891882,10647,20,3,2
19,inclusive_exclusive_distinction,2,train_fwer_plus_val_direction,0.7876148819923401,0.7157050371170044,1,2.556132354958088,10819,20,1,1
17,animacy_and_humanness,3,train_fwer_plus_val_direction,0.4626986682415008,0.3552525043487549,2,0.6801475616510033,10896,20,1,4
34,topic_comment_structure,1,original_trainval_selected,-0.6802915930747986,-0.2903422713279724,1,1.4702691833116046,10896,20,1,4
7,voice_and_agent_prominence,2,train_fwer_plus_val_direction,0.8707354664802551,0.9094770550727844,1,1.6428689270234615,10996,20,1,4
20,pronoun_richness_and_reduction,5,train_fwer_plus_val_direction,-0.8284989595413208,-0.7997105717658997,1,1.178867162059965,11338,20,1,1
26,evidentiality,1,original_trainval_selected,0.8759427070617676,0.0279047414660453,1,3.847660866349966,11375,20,1,1
31,subordination_and_embedding,2,train_fwer_plus_val_direction,0.9137725234031676,0.9631659388542176,1,1.4730190321916428,11461,20,3,2
39,deixis_and_perspective_anchoring,3,train_fwer_only,-0.6252319812774658,0.0,1,1.764503471763139,11602,20,1,2
34,topic_comment_structure,5,train_fwer_plus_val_direction,-0.7946255803108215,-0.5738545060157776,1,1.0908503484409509,11611,20,2,4
3,nominal_modifier_order,3,train_fwer_plus_val_direction,0.5682220458984375,0.4314427673816681,1,1.2500223237378632,11666,20,3,2
22,tense_prominence,3,train_fwer_plus_val_direction,0.3782892823219299,0.0519947744905948,2,0.9140558839897088,11740,20,2,2
13,redundancy_cumulative_exponence,2,train_fwer_plus_val_direction,0.6320487260818481,0.6974450945854187,1,2.741567380677774,11745,20,17,1
30,conditional_and_counterfactual_marking,5,train_fwer_plus_val_direction,0.7173345685005188,0.1414213478565216,1,1.6875083911809223,11810,20,4,2
32,quotation_and_reported_speech_structure,5,train_fwer_plus_val_direction,-0.8189233541488647,-0.8653619289398193,1,1.74373718143974,11822,20,4,5
4,case_marking,5,train_fwer_plus_val_direction,0.5665741562843323,0.4357597529888153,1,1.1749028720457204,11875,20,6,4
6,transitivity_valency,4,train_fwer_plus_val_direction,-0.9111669659614564,-0.937703013420105,2,0.9721848153074968,12059,20,3,3
7,voice_and_agent_prominence,3,train_fwer_plus_val_direction,0.9071592092514038,0.9608224034309388,1,1.454132029816402,12096,20,17,5
28,negation_and_polarity_structure,3,train_fwer_plus_val_direction,-0.5663538575172424,-0.1516840457916259,1,1.6554052971068425,12169,20,4,4
40,orthographic_and_tokenization_interface,5,train_fwer_plus_val_direction,-0.486632764339447,-0.2040924131870269,6,0.6461559294583124,12291,20,20,9
29,quantifier_scope_and_distributivity,3,train_fwer_plus_val_direction,0.7267351150512695,0.2791279852390289,8,0.7735318770763234,12588,20,13,2
16,gender_noun_class,2,train_fwer_plus_val_direction,-0.9485368132591248,-0.9440931081771852,1,1.0411196208221738,12965,20,12,5
14,definiteness_and_specificity,4,train_fwer_plus_val_direction,-0.4743513166904449,-0.4373157620429992,1,1.0721435077936008,12995,20,1,1
28,negation_and_polarity_structure,2,train_fwer_plus_val_direction,0.6143609881401062,0.3488309681415558,1,1.6973538548588438,13008,20,3,1
2,basic_constituent_order,4,train_fwer_plus_val_direction,0.6769956946372986,0.6330192685127258,1,1.4994813977474315,13096,20,1,1
23,aspect_and_event_structure,4,train_fwer_plus_val_direction,-0.6953719854354858,-0.0255343653261661,2,0.7271305880091575,13189,20,4,2
24,modality_and_mood,2,train_fwer_plus_val_direction,0.6157345175743103,0.4226918220520019,1,1.054724246410472,13197,20,6,3
18,person_marking_and_person_hierarchy,1,original_trainval_selected,0.377556562423706,0.2080137282609939,1,1.153632915378371,13235,20,1,1
4,case_marking,1,original_trainval_selected,0.5107520818710327,0.3903347551822662,1,1.75763736070454,13269,20,6,6
36,genericity_and_kind_level_reference,3,train_fwer_plus_val_direction,0.3883495926856994,0.303230732679367,3,0.6500871498975244,13521,20,13,6
12,optionality_vs_obligatoriness_of_marking,3,train_fwer_plus_val_direction,-0.4175151586532593,-0.9398850202560424,1,1.2447670986964294,13817,20,2,2
14,definiteness_and_specificity,1,original_trainval_selected,-0.5076863169670105,-0.4826407134532928,1,1.3591204485359505,13819,20,1,1
11,agreement_indexing_density,4,train_fwer_plus_val_direction,0.9742085933685304,0.9890480041503906,1,1.1659599359968955,13837,20,3,3
15,number_marking,2,train_fwer_plus_val_direction,0.8355420827865601,0.0988276898860931,2,0.8576624025636012,13837,20,3,3
38,speech_act_force_and_request_directness,3,train_fwer_plus_val_direction,0.4376081526279449,0.2388948202133178,2,0.8736750907905675,13976,20,19,12
31,subordination_and_embedding,4,train_fwer_plus_val_direction,0.9166191816329956,0.8648797869682312,1,1.4112190604786354,13999,20,14,8
20,pronoun_richness_and_reduction,2,train_fwer_plus_val_direction,-0.8281378149986267,-0.8113958835601807,1,1.401244694973789,14161,20,18,3
5,morphosyntactic_alignment,3,train_fwer_plus_val_direction,-0.691173791885376,-0.6802931427955627,10,0.7309222128843189,14174,20,3,2
29,quantifier_scope_and_distributivity,4,train_fwer_plus_val_direction,0.7042573094367981,0.5189616680145264,9,0.7415926155295338,14198,20,1,1
14,definiteness_and_specificity,5,train_fwer_plus_val_direction,-0.5091310739517212,-0.43616983294487,1,1.0363447943972024,14259,20,11,6
10,morphological_segmentation_type,5,train_fwer_plus_val_direction,-0.7168538570404053,-0.4545976817607879,1,1.994389685990234,14319,20,1,1
38,speech_act_force_and_request_directness,4,train_fwer_plus_val_direction,0.4279492497444153,0.613838791847229,3,0.8740642348246046,14406,20,1,3
39,deixis_and_perspective_anchoring,1,original_trainval_selected,-0.7022145986557007,-0.3162277638912201,1,2.0270274199657763,14441,20,4,3
22,tense_prominence,5,train_fwer_plus_val_direction,0.4606241881847381,0.3742358386516571,4,0.7126612319425296,14496,20,6,6
18,person_marking_and_person_hierarchy,3,train_fwer_plus_val_direction,0.4037604331970215,0.4155441522598266,1,1.0867048870289746,14768,20,1,2
29,quantifier_scope_and_distributivity,5,train_fwer_plus_val_direction,0.679252564907074,0.2803349196910858,9,0.7400429324851086,14976,20,9,6
25,epistemic_modality,1,original_trainval_selected,0.7695838212966919,0.5663724541664124,1,2.197882324242896,15221,20,9,6
21,possession_and_alienability,3,train_fwer_plus_val_direction,0.5251805782318115,0.4831566214561462,3,0.8457624709166407,15325,20,6,4
35,focus_and_given_new_marking,2,train_fwer_plus_val_direction,-0.7042022347450256,-0.1850019842386245,1,1.313247719458777,15357,20,5,3
32,quotation_and_reported_speech_structure,4,train_fwer_plus_val_direction,-0.816766083240509,-0.8443830013275146,1,2.3367689806425735,15531,20,2,2
1,Subject expression / pro-drop,3,train_fwer_plus_val_direction,0.8508999347686768,0.9474011659622192,4,0.9204966984072904,15659,20,1,2
14,definiteness_and_specificity,3,train_fwer_plus_val_direction,-0.4726139307022095,-0.3873670399188995,1,1.114339702641628,15695,20,1,1
10,morphological_segmentation_type,2,train_fwer_plus_val_direction,0.7314246892929077,0.3352487087249756,1,2.1615142843781054,15843,20,3,1
30,conditional_and_counterfactual_marking,4,train_fwer_plus_val_direction,0.8586918115615845,0.4985992014408111,1,1.700768473576357,15938,20,1,1
30,conditional_and_counterfactual_marking,1,original_trainval_selected,0.7184366583824158,0.1789576262235641,1,1.8750612238707176,15951,20,11,4
28,negation_and_polarity_structure,4,train_fwer_plus_val_direction,0.5630006790161133,0.4096569418907165,1,1.6505945049348327,16131,20,2,1
40,orthographic_and_tokenization_interface,2,train_fwer_plus_val_direction,-0.4308347105979919,-0.3856420516967773,4,0.6228265780097676,16180,20,1,3
10,morphological_segmentation_type,4,train_fwer_plus_val_direction,-0.7973324060440063,-0.5562032461166382,1,2.036529136051975,16361,20,4,4
8,causativity_and_valency_change,2,train_fwer_plus_val_direction,-0.8733323812484741,-0.9259907603263856,2,0.9705655789997126,16378,20,1,5
