variable_id,variable,pooling,rank,feature_id,train_effect,val_effect,test_effect,train_cohen_dz,val_cohen_dz,test_cohen_dz,train_nonzero_fraction,val_nonzero_fraction,test_nonzero_fraction,train_direction_fraction,val_direction_fraction,test_direction_fraction,val_same_direction,test_same_direction
22,tense_prominence,mean,6,1760,0.4481317400932312,0.3517717123031616,0.37197884917259216,0.5006576776504517,0.3720130920410156,0.39670753479003906,0.8125,0.88,0.96,0.555,0.6,0.64,True,True
22,tense_prominence,mean,7,12565,-0.4330184757709503,-0.46253502368927,-0.4300037920475006,-0.4797925055027008,-0.5164514780044556,-0.47149884700775146,0.51,0.52,0.52,0.3675,0.4,0.38,True,True
22,tense_prominence,mean,8,8926,0.4231538772583008,0.43196427822113037,0.427474707365036,0.4664430618286133,0.47414037585258484,0.4681035578250885,0.8925,0.96,1.0,0.5825,0.66,0.66,True,True
22,tense_prominence,mean,9,9465,0.42292138934135437,0.1037888154387474,0.2179521918296814,0.46613121032714844,0.10330358892679214,0.22107644379138947,1.0,1.0,1.0,0.6475,0.6,0.6,True,True
22,tense_prominence,mean,10,2602,0.4210786521434784,0.22576218843460083,0.17966321110725403,0.4636615812778473,0.2294161170721054,0.1807994544506073,0.85,0.94,0.58,0.535,0.6,0.34,True,True
22,tense_prominence,mean,11,11483,0.41334807872772217,0.2715655267238617,0.40059715509414673,0.45337507128715515,0.27933353185653687,0.4328175485134125,1.0,1.0,1.0,0.6175,0.52,0.68,True,True
22,tense_prominence,mean,12,8134,0.4066634476184845,0.487965852022171,0.3948753774166107,0.44457587599754333,0.5534221529960632,0.42548370361328125,0.7825,0.94,0.44,0.5225,0.78,0.34,True,True
22,tense_prominence,mean,13,1385,-0.39607158303260803,-0.13822416961193085,0.0,-0.4308072626590729,-0.1381612867116928,0.0,0.3075,0.12,0.0,0.2675,0.08,0.0,True,False
22,tense_prominence,mean,14,10569,-0.39500191807746887,0.05370455980300903,-0.05569498986005783,-0.42942944169044495,0.05324165150523186,-0.05522094666957855,0.28,0.06,0.06,0.24,0.04,0.04,False,True
22,tense_prominence,mean,15,16335,-0.39450299739837646,-0.25157642364501953,-0.24737440049648285,-0.4287863075733185,-0.2573241591453552,-0.2527434825897217,1.0,1.0,1.0,0.625,0.54,0.52,True,True
22,tense_prominence,mean,16,7070,-0.3933371603488922,0.24130277335643768,0.3366350531578064,-0.4272881746292114,0.2461513876914978,0.3539074659347534,0.19,0.06,0.26,0.1825,0.06,0.2,False,False
22,tense_prominence,mean,17,164,0.3917953372001648,0.16883210837841034,0.1936269998550415,0.42530763149261475,0.1695694476366043,0.19537845253944397,1.0,1.0,1.0,0.6375,0.52,0.52,True,True
22,tense_prominence,mean,18,8006,0.3886345326900482,0.3100045919418335,0.45532864332199097,0.42126330733299255,0.3227912485599518,0.5062794089317322,0.55,0.52,0.5,0.4125,0.3,0.4,True,True
22,tense_prominence,mean,19,1570,-0.38624832034111023,-0.31142106652259827,-0.37074241042137146,-0.41822099685668945,-0.3244239091873169,-0.3951781988143921,0.3775,0.34,0.26,0.31,0.26,0.2,True,True
22,tense_prominence,mean,20,4150,-0.38599035143852234,-0.28115347027778625,-0.36122241616249084,-0.41789305210113525,-0.29002660512924194,-0.383484810590744,0.485,0.5,0.66,0.3475,0.3,0.42,True,True
22,tense_prominence,mean,21,15282,-0.38528183102607727,-0.04660816118121147,-0.02105819433927536,-0.41699209809303284,-0.04618992283940315,-0.020851172506809235,0.895,0.84,0.94,0.555,0.5,0.6,True,True
22,tense_prominence,mean,22,8695,-0.38282132148742676,-0.24942342936992645,-0.48562610149383545,-0.4138711392879486,-0.2549751400947571,-0.5499467849731445,0.5575,0.54,0.62,0.3775,0.32,0.5,True,True
