variable_id,variable,pooling,rank,feature_id,train_effect,val_effect,test_effect,val_same_direction,test_same_direction,p_unadjusted,p_maxT,train_fwer_significant,holdout_direction_survival,full_survival
6,transitivity_valency,final,8,15282,0.8384048938751221,0.8244937062263489,0.7667770385742188,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,9,4825,-0.8383018374443054,-0.7244331240653992,-0.844035267829895,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,10,2734,-0.834618091583252,-0.85011887550354,-0.7612109184265137,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,11,4441,0.8246793150901794,0.7680221796035767,0.8787477612495422,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,12,6047,0.8227211833000183,0.3542541563510895,0.7330965399742126,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,13,11776,0.8123617768287659,0.8834471702575684,0.9705758094787598,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,14,10074,0.7840964794158936,0.7090729475021362,0.8731773495674133,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,15,4080,-0.7822822332382202,-0.7999861836433411,-0.9331555366516113,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,16,4923,-0.7814890742301941,-0.32417812943458557,-0.6747450828552246,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,17,7918,0.7617815136909485,0.7915316820144653,0.7150481343269348,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,18,9622,-0.750960648059845,0.1336236298084259,-0.7313496470451355,False,True,0.0004997501249375312,0.0004997501249375312,True,False,False
6,transitivity_valency,final,19,15659,0.7384722828865051,0.39714252948760986,0.6120814085006714,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,20,5159,0.7356705069541931,0.8405546545982361,0.9578049182891846,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,21,471,-0.7320502996444702,0.0,-0.2432701140642166,False,True,0.0004997501249375312,0.0004997501249375312,True,False,False
6,transitivity_valency,final,22,3288,0.718691349029541,0.021866491064429283,0.7895533442497253,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,23,16378,-0.7158188223838806,0.1563551425933838,-0.10484368354082108,False,True,0.0004997501249375312,0.0004997501249375312,True,False,False
6,transitivity_valency,final,24,14004,0.7035115361213684,0.7684846520423889,0.8839876055717468,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
6,transitivity_valency,final,25,10152,0.6982105374336243,-0.1365419179201126,0.15592846274375916,False,True,0.0004997501249375312,0.0004997501249375312,True,False,False
7,voice_and_agent_prominence,mean,1,13189,0.9563233852386475,0.9921397566795349,0.7009090185165405,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,2,2491,0.9547025561332703,0.9897872805595398,0.6963909268379211,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,3,4804,0.9534234404563904,0.9882604479789734,0.6981097459793091,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,4,3449,-0.9526724815368652,-0.9222827553749084,-0.7074192762374878,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,5,1349,0.9490667581558228,0.9861501455307007,0.6996520161628723,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,6,11197,0.939240038394928,0.9837477207183838,0.6987980604171753,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,7,4871,0.9383845925331116,0.9710099101066589,0.7020074725151062,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,8,5482,-0.9323533177375793,-0.9103079438209534,-0.6473486423492432,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,9,15885,0.9308505058288574,0.9779292941093445,0.7064136266708374,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,10,10398,0.929797351360321,0.9603086709976196,0.6913593411445618,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,11,3409,0.9236767292022705,0.9572762846946716,0.695814847946167,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,12,12780,0.9178791642189026,0.9712722897529602,0.0641661211848259,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,13,260,-0.9172806739807129,-0.9294523596763611,-0.7694326639175415,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,14,701,0.9145583510398865,0.9588680863380432,0.6551699638366699,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,15,3638,0.9139800667762756,0.9703490734100342,0.774048924446106,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,16,12096,0.9071592092514038,0.9608224034309387,0.6851579546928406,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,17,8006,0.9062565565109253,0.9400318264961243,0.7348819971084595,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,18,10996,0.8707354664802551,0.9094770550727844,0.22496700286865234,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,19,11000,-0.86976158618927,-0.9650688171386719,-0.3604445159435272,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,20,10373,0.8638941049575806,0.930048406124115,0.47372353076934814,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,21,8628,-0.856675386428833,-0.8670901656150818,-0.5954972505569458,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,22,8235,0.8548974990844727,0.9214052557945251,0.622924268245697,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,23,16307,-0.8546121716499329,-0.7960842251777649,-0.5237216353416443,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
