variable_id,variable,pooling,feature_id,field,split,eligible_groups,same_direction_fraction,weighted_same_direction_fraction,median_abs_effect,minimum_abs_effect,unseen_groups,unseen_same_direction_fraction,unseen_median_abs_effect
12,optionality_vs_obligatoriness_of_marking,mean,9607,lexical_domain,train,6,0.6666666666666666,0.6675,0.4330094970870375,0.0,0,,
12,optionality_vs_obligatoriness_of_marking,mean,9607,lexical_domain,val,2,1.0,1.0,0.5151024779966717,0.4469747439422165,2,1.0,0.5151024779966717
12,optionality_vs_obligatoriness_of_marking,mean,9607,lexical_domain,test,3,1.0,1.0,0.5252062689326139,0.5200536838791612,3,1.0,0.5252062689326139
12,optionality_vs_obligatoriness_of_marking,final,15899,marker_family,train,3,0.6666666666666666,0.835,0.2164961001944579,0.0,0,,
12,optionality_vs_obligatoriness_of_marking,final,15899,marker_family,val,1,1.0,1.0,0.14142135186009153,0.14142135186009153,1,1.0,0.14142135186009153
12,optionality_vs_obligatoriness_of_marking,final,15899,marker_family,test,2,0.0,0.0,0.0,0.0,2,0.0,0.0
12,optionality_vs_obligatoriness_of_marking,final,15899,lexical_domain,train,6,0.3333333333333333,0.335,0.0,0.0,0,,
12,optionality_vs_obligatoriness_of_marking,final,15899,lexical_domain,val,2,0.5,0.5,0.09999999612852112,0.0,2,0.5,0.09999999612852112
12,optionality_vs_obligatoriness_of_marking,final,15899,lexical_domain,test,3,0.0,0.0,0.0,0.0,3,0.0,0.0
13,redundancy_cumulative_exponence,mean,9749,marker_family,train,3,1.0,1.0,0.7715141660098829,0.545449483854009,0,,
13,redundancy_cumulative_exponence,mean,9749,marker_family,val,1,1.0,1.0,0.8364553902620457,0.8364553902620457,1,1.0,0.8364553902620457
13,redundancy_cumulative_exponence,mean,9749,marker_family,test,2,1.0,1.0,0.7860085534250996,0.7338454807530197,2,1.0,0.7860085534250996
13,redundancy_cumulative_exponence,mean,9749,lexical_domain,train,6,0.8333333333333334,0.8325,0.9460237268957665,0.818141131024171,0,,
13,redundancy_cumulative_exponence,mean,9749,lexical_domain,val,2,1.0,1.0,0.8458206160959916,0.7759085439256385,2,1.0,0.8458206160959916
13,redundancy_cumulative_exponence,mean,9749,lexical_domain,test,3,1.0,1.0,0.7227370850905322,0.722608783931082,3,1.0,0.7227370850905322
13,redundancy_cumulative_exponence,final,16084,marker_family,train,3,0.6666666666666666,0.8325,0.7641370704165575,0.17914535653990166,0,,
13,redundancy_cumulative_exponence,final,16084,marker_family,val,1,1.0,1.0,0.6714550420189814,0.6714550420189814,1,1.0,0.6714550420189814
13,redundancy_cumulative_exponence,final,16084,marker_family,test,2,1.0,1.0,0.6901320427052224,0.6706622952263296,2,1.0,0.6901320427052224
13,redundancy_cumulative_exponence,final,16084,lexical_domain,train,6,0.8333333333333334,0.8325,0.7313702738035339,0.17914535653990166,0,,
13,redundancy_cumulative_exponence,final,16084,lexical_domain,val,2,1.0,1.0,0.6726563265700647,0.6501941252248213,2,1.0,0.6726563265700647
13,redundancy_cumulative_exponence,final,16084,lexical_domain,test,3,1.0,1.0,0.6572770239194978,0.46942512464177927,3,1.0,0.6572770239194978
14,definiteness_and_specificity,mean,13819,marker_family,train,3,0.3333333333333333,0.3325,0.0,0.0,0,,
14,definiteness_and_specificity,mean,13819,marker_family,val,1,1.0,1.0,0.48264076151515045,0.48264076151515045,1,1.0,0.48264076151515045
14,definiteness_and_specificity,mean,13819,marker_family,test,2,0.5,0.66,0.3248661833486179,0.0,2,0.5,0.3248661833486179
14,definiteness_and_specificity,mean,13819,lexical_domain,train,6,1.0,1.0,0.5192858764928137,0.4815792461699547,0,,
14,definiteness_and_specificity,mean,13819,lexical_domain,val,2,1.0,1.0,0.5227139993404271,0.46879065365524614,2,1.0,0.5227139993404271
14,definiteness_and_specificity,mean,13819,lexical_domain,test,3,1.0,1.0,0.5446403972462378,0.4707713650256829,3,1.0,0.5446403972462378
14,definiteness_and_specificity,final,15772,marker_family,train,3,0.3333333333333333,0.3325,0.0,0.0,0,,
14,definiteness_and_specificity,final,15772,marker_family,val,1,1.0,1.0,0.25731421356341405,0.25731421356341405,1,1.0,0.25731421356341405
14,definiteness_and_specificity,final,15772,marker_family,test,2,1.0,1.0,0.48780970132952706,0.3405408078372586,2,1.0,0.48780970132952706
14,definiteness_and_specificity,final,15772,lexical_domain,train,6,1.0,1.0,0.3619195846968659,0.3230924596476758,0,,
14,definiteness_and_specificity,final,15772,lexical_domain,val,2,1.0,1.0,0.27107137304448203,0.14284148381008996,2,1.0,0.27107137304448203
14,definiteness_and_specificity,final,15772,lexical_domain,test,3,1.0,1.0,0.5750420252348679,0.5318284254830082,3,1.0,0.5750420252348679
15,number_marking,mean,8113,marker_family,train,3,1.0,1.0,0.8081951778279767,0.628290263137497,0,,
15,number_marking,mean,8113,marker_family,val,1,1.0,1.0,0.20351199844365483,0.20351199844365483,1,1.0,0.20351199844365483
15,number_marking,mean,8113,marker_family,test,2,0.5,0.58,0.4359712041259999,0.23304094296581293,2,0.5,0.4359712041259999
15,number_marking,mean,8113,lexical_domain,train,6,1.0,1.0,0.772346028873838,0.7359486301212318,0,,
15,number_marking,mean,8113,lexical_domain,val,2,1.0,1.0,0.20786309948095916,0.20560068160538097,2,1.0,0.20786309948095916
15,number_marking,mean,8113,lexical_domain,test,3,0.3333333333333333,0.32,0.21289251737985082,0.18664645971870908,3,0.3333333333333333,0.21289251737985082
15,number_marking,final,8113,marker_family,train,3,1.0,1.0,0.5481117263988612,0.2506494624618377,0,,
15,number_marking,final,8113,marker_family,val,1,1.0,1.0,0.23209504172096743,0.23209504172096743,1,1.0,0.23209504172096743
15,number_marking,final,8113,marker_family,test,2,0.5,0.58,0.2926336822719351,0.2182178963220011,2,0.5,0.2926336822719351
15,number_marking,final,8113,lexical_domain,train,6,1.0,1.0,0.42906661272122726,0.28976488422071867,0,,
15,number_marking,final,8113,lexical_domain,val,2,1.0,1.0,0.22999693775924424,0.19383587133693161,2,1.0,0.22999693775924424
15,number_marking,final,8113,lexical_domain,test,3,1.0,1.0,0.24075527856585313,0.2137278082046462,3,1.0,0.24075527856585313
16,gender_noun_class,mean,5205,marker_family,train,3,1.0,1.0,0.9777624370188782,0.7651149570768877,0,,
16,gender_noun_class,mean,5205,marker_family,val,1,1.0,1.0,0.907906492088415,0.907906492088415,1,1.0,0.907906492088415
16,gender_noun_class,mean,5205,marker_family,test,2,1.0,1.0,0.9060512698779107,0.8374582691446993,2,1.0,0.9060512698779107
16,gender_noun_class,mean,5205,lexical_domain,train,6,1.0,1.0,0.9013612629016663,0.876573391009878,0,,
16,gender_noun_class,mean,5205,lexical_domain,val,2,1.0,1.0,0.9088219344186161,0.8950316648023233,2,1.0,0.9088219344186161
16,gender_noun_class,mean,5205,lexical_domain,test,3,1.0,1.0,0.9162987879578838,0.9009230453490639,3,1.0,0.9162987879578838
16,gender_noun_class,final,1825,marker_family,train,3,1.0,1.0,0.1943698366293592,0.12258749886487576,0,,
16,gender_noun_class,final,1825,marker_family,val,1,1.0,1.0,0.3127022471914613,0.3127022471914613,1,1.0,0.3127022471914613
16,gender_noun_class,final,1825,marker_family,test,2,0.5,0.5,0.14110184786564148,0.0,2,0.5,0.14110184786564148
16,gender_noun_class,final,1825,lexical_domain,train,6,1.0,1.0,0.2950029091321903,0.20390020953553115,0,,
16,gender_noun_class,final,1825,lexical_domain,val,2,1.0,1.0,0.3138303451480149,0.2827126690843692,2,1.0,0.3138303451480149
16,gender_noun_class,final,1825,lexical_domain,test,3,0.6666666666666666,0.68,0.24253562073516335,0.0,3,0.6666666666666666,0.24253562073516335
17,animacy_and_humanness,mean,3104,marker_family,train,3,1.0,1.0,0.548055198427866,0.40576092505866296,0,,
17,animacy_and_humanness,mean,3104,marker_family,val,1,1.0,1.0,0.573481899937176,0.573481899937176,1,1.0,0.573481899937176
17,animacy_and_humanness,mean,3104,marker_family,test,2,0.5,0.5,0.31422605894550265,0.27281998312989036,2,0.5,0.31422605894550265
17,animacy_and_humanness,mean,3104,lexical_domain,train,6,1.0,1.0,0.48343423646141714,0.16929515105769763,0,,
17,animacy_and_humanness,mean,3104,lexical_domain,val,2,1.0,1.0,0.525956490203048,0.28161482880154437,2,1.0,0.525956490203048
17,animacy_and_humanness,mean,3104,lexical_domain,test,3,0.3333333333333333,0.34,0.41313121903563305,0.22594255572550093,3,0.3333333333333333,0.41313121903563305
17,animacy_and_humanness,final,6618,marker_family,train,3,1.0,1.0,0.4275968967239738,0.023068800584167246,0,,
17,animacy_and_humanness,final,6618,marker_family,val,1,1.0,1.0,0.028152770367235798,0.028152770367235798,1,1.0,0.028152770367235798
17,animacy_and_humanness,final,6618,marker_family,test,2,1.0,1.0,0.707069667873278,0.5508311908067969,2,1.0,0.707069667873278
17,animacy_and_humanness,final,6618,lexical_domain,train,6,0.6666666666666666,0.665,0.38298134339044687,0.03834826713329939,0,,
17,animacy_and_humanness,final,6618,lexical_domain,val,2,1.0,1.0,0.027899028167409346,0.019607887002326532,2,1.0,0.027899028167409346
17,animacy_and_humanness,final,6618,lexical_domain,test,3,1.0,1.0,0.7084050572308007,0.707170425658771,3,1.0,0.7084050572308007
18,person_marking_and_person_hierarchy,mean,13235,marker_family,train,3,0.6666666666666666,0.6425,0.4138081046323007,0.052197442137772145,0,,
18,person_marking_and_person_hierarchy,mean,13235,marker_family,val,1,1.0,1.0,0.20801372533236873,0.20801372533236873,1,1.0,0.20801372533236873
18,person_marking_and_person_hierarchy,mean,13235,marker_family,test,2,0.5,0.6,0.17418329411647343,0.0,2,0.5,0.17418329411647343
18,person_marking_and_person_hierarchy,mean,13235,lexical_domain,train,6,1.0,1.0,0.3662792790315884,0.2678998716371203,0,,
18,person_marking_and_person_hierarchy,mean,13235,lexical_domain,val,2,1.0,1.0,0.20377610460394757,0.14743616911859062,2,1.0,0.20377610460394757
