variable_id,variable,pooling,top_feature,top_train_effect,top_val_effect,top_test_effect,top_p_maxT,top_holdout_survival,q_all_80,q_within_pooling_40
14,definiteness_and_specificity,mean,14043,0.6710959076881409,0.5501485466957092,0.39015406370162964,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
14,definiteness_and_specificity,final,7918,0.6377742290496826,0.5444838404655457,0.7903770804405212,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
15,number_marking,mean,661,0.8499434590339661,-0.18010152876377106,-0.6363391876220703,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
15,number_marking,final,15659,0.6625156998634338,0.5242376923561096,-0.3725317418575287,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
16,gender_noun_class,mean,1671,-0.9497388005256653,-0.9565516114234924,-0.924990177154541,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
16,gender_noun_class,final,2993,-0.649357795715332,-0.7424691319465637,-0.10198726505041122,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
17,animacy_and_humanness,mean,14004,-0.618086576461792,-0.5310755968093872,-0.6968330144882202,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
17,animacy_and_humanness,final,8182,0.6224128603935242,0.2900159955024719,0.709356427192688,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
18,person_marking_and_person_hierarchy,mean,2993,-0.5128213167190552,-0.4450680911540985,-0.36842820048332214,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
18,person_marking_and_person_hierarchy,final,14465,-0.5475411415100098,-0.5141435861587524,-0.16007570922374725,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
19,inclusive_exclusive_distinction,mean,6062,-0.8535889983177185,-0.4935387074947357,-0.023348644375801086,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
19,inclusive_exclusive_distinction,final,8182,-0.7900815606117249,-0.2269776463508606,0.6592288017272949,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
20,pronoun_richness_and_reduction,mean,14004,-0.9611682295799255,-0.9492269158363342,-0.8919729590415955,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
20,pronoun_richness_and_reduction,final,14795,-0.8592251539230347,-0.8670993447303772,-0.7250207662582397,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
21,possession_and_alienability,mean,8666,-0.6268336772918701,-0.5676026344299316,-0.591072678565979,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
21,possession_and_alienability,final,6119,-0.4949685335159302,-0.5110031366348267,-0.36095982789993286,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
22,tense_prominence,mean,13627,-0.49976080656051636,-0.18829482793807983,-0.11131473630666733,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
22,tense_prominence,final,7247,-0.5176082849502563,-0.4271300137042999,-0.2687240242958069,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
23,aspect_and_event_structure,mean,701,-0.7055163979530334,-0.27856433391571045,0.3576398491859436,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
23,aspect_and_event_structure,final,3044,-0.569197416305542,0.0899294838309288,0.46677321195602417,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
24,modality_and_mood,mean,13197,0.6157345175743103,0.42269182205200195,0.44372811913490295,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
24,modality_and_mood,final,3044,0.6233725547790527,-0.21808291971683502,0.36961454153060913,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
25,epistemic_modality,mean,4591,0.8098894357681274,-0.2455480694770813,0.4014601409435272,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
25,epistemic_modality,final,4923,0.7728185653686523,-0.3177049160003662,-0.6839067935943604,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
26,evidentiality,mean,3336,0.8992544412612915,0.08439596742391586,-0.7704203128814697,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
26,evidentiality,final,7700,-0.8583455681800842,-0.38795003294944763,0.3778916299343109,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
27,mirativity_stance_and_affect_marking,mean,1887,0.9746910333633423,0.8548627495765686,0.9517486095428467,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
27,mirativity_stance_and_affect_marking,final,6119,0.9419602155685425,0.9187965393066406,0.9361345171928406,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
28,negation_and_polarity_structure,mean,14770,-0.6849724054336548,-0.20230861008167267,-0.39947184920310974,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
28,negation_and_polarity_structure,final,12178,-0.6493474841117859,-0.2759208679199219,-0.4037792682647705,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
29,quantifier_scope_and_distributivity,mean,12588,0.7267351150512695,0.27912798523902893,0.37582632899284363,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
29,quantifier_scope_and_distributivity,final,16378,-0.6282507181167603,-0.38904130458831787,-0.40862491726875305,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
30,conditional_and_counterfactual_marking,mean,15938,0.8586918115615845,0.49859920144081116,-0.1143210232257843,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
30,conditional_and_counterfactual_marking,final,5219,-0.7958799600601196,-0.5039891600608826,-0.7219234108924866,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
31,subordination_and_embedding,mean,4847,0.97318434715271,0.9826292991638184,-0.3805694580078125,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
31,subordination_and_embedding,final,5159,0.8962443470954895,0.9174426794052124,0.34949374198913574,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
32,quotation_and_reported_speech_structure,mean,7644,-0.8336458206176758,-0.6523815989494324,-0.8283656239509583,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
32,quotation_and_reported_speech_structure,final,3947,-0.7434964179992676,-0.7935090065002441,-0.7352986931800842,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
33,discourse_relation_marking,mean,10770,-0.8830366134643555,0.05764547362923622,0.9548419713973999,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
33,discourse_relation_marking,final,11776,0.7101783156394958,0.46592625975608826,0.22358599305152893,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
34,topic_comment_structure,mean,2509,-0.8676437735557556,-0.5782672762870789,-0.7091948390007019,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
34,topic_comment_structure,final,12998,0.758325457572937,0.6565368175506592,0.6639777421951294,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
35,focus_and_given_new_marking,mean,16084,-0.8151004314422607,0.53200364112854,0.681742787361145,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
35,focus_and_given_new_marking,final,2195,-0.8127585053443909,-0.530832827091217,-0.7193379402160645,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
36,genericity_and_kind_level_reference,mean,13521,0.38834959268569946,0.30323073267936707,0.4645141065120697,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
36,genericity_and_kind_level_reference,final,164,0.33983075618743896,0.19894066452980042,0.47115665674209595,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
37,social_deixis_honorifics_status_encoding,mean,2410,0.9277223944664001,0.9127199649810791,0.5644055604934692,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
37,social_deixis_honorifics_status_encoding,final,46,-0.9033511281013489,-0.7001131176948547,-0.5651090741157532,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
38,speech_act_force_and_request_directness,mean,5530,-0.5678360462188721,-0.6996418833732605,-0.2994917631149292,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
38,speech_act_force_and_request_directness,final,9622,-0.4737878739833832,-0.7100551128387451,-0.3324703872203827,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
39,deixis_and_perspective_anchoring,mean,9622,-0.7627482414245605,-0.47211751341819763,-0.5268592238426208,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
39,deixis_and_perspective_anchoring,final,9622,-0.795283317565918,-0.8348754644393921,-0.31391122937202454,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
40,orthographic_and_tokenization_interface,mean,1546,0.6342526078224182,-0.14530488848686218,-0.09736596047878265,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
40,orthographic_and_tokenization_interface,final,4825,0.5762103796005249,0.4428677558898926,0.19745653867721558,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
