variable_id,variable,pooling,rank,feature_id,train_effect,val_effect,test_effect,val_same_direction,test_same_direction,p_unadjusted,p_maxT,train_fwer_significant,holdout_direction_survival,full_survival,target_train_abs_effect,max_other_variable_abs_effect,mean_other_variable_abs_effect,target_rank_among_40_variables,specificity_ratio_vs_max_other,specificity_margin,specificity_z_vs_other_variables,target_share_of_feature_abs_effect,trainval_candidate,test_descriptive_same_direction,selection_rule
6,transitivity_valency,mean,1,5382,0.9389743804931641,0.8023737668991089,0.07523857802152634,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.9389743804931641,0.754726767539978,0.19948698319972324,1,1.2441249215974395,0.18424761295318604,3.5853468863816165,0.10769330931960341,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
6,transitivity_valency,final,9,4825,-0.8383018374443054,-0.7244331240653992,-0.844035267829895,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8383018374443054,0.6566018462181091,0.2886782749272429,1,1.2767278104268982,0.1816999912261963,2.5659831741603396,0.06929973104055072,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
7,voice_and_agent_prominence,mean,22,8235,0.8548974990844727,0.9214052557945251,0.622924268245697,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8548974990844727,0.5159035921096802,0.16483449857108867,1,1.6570877042909269,0.3389939069747925,5.155775273232984,0.11737546456160626,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
7,voice_and_agent_prominence,final,16,8074,-0.5295006036758423,-0.5827828645706177,-0.19916151463985443,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.5295006036758423,0.42229515314102173,0.13306289394863713,1,1.2538637958248606,0.10720545053482056,3.704038816163937,0.09258697533891998,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
8,causativity_and_valency_change,mean,2,8182,0.8939546346664429,0.9339605569839478,0.7827286124229431,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8939546346664429,0.9005430340766907,0.42844346125060934,2,0.9926839704923122,-0.006588399410247803,1.793651285919563,0.05078350042119877,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
8,causativity_and_valency_change,final,9,3288,0.8191356062889099,0.8827613592147827,0.7486385107040405,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8191356062889099,0.718691349029541,0.34143143587817365,1,1.1397599364386397,0.1004442572593689,2.1727928240713146,0.05795103157323013,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
9,analytic_vs_synthetic_encoding,mean,24,6579,-0.5021765828132629,-0.5613006949424744,-0.4795279800891876,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.5021765828132629,0.3239688277244568,0.09417231213928272,1,1.5500768587537568,0.17820775508880615,4.21903993426339,0.12028479077046628,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
9,analytic_vs_synthetic_encoding,final,16,9565,0.3245815634727478,0.43757954239845276,0.27153193950653076,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.3245815634727478,0.4739854037761688,0.15320921627183756,5,0.684792318258867,-0.14940384030342102,1.369291428073317,0.05152300127449047,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
10,morphological_segmentation_type,mean,20,6125,-0.7077662348747253,-0.5309546589851379,-0.45586657524108887,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.7077662348747253,0.1383809894323349,0.04033528841458834,1,5.114620424222409,0.5693852454423904,13.055177132884701,0.3103091248678631,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
10,morphological_segmentation_type,final,2,11611,-0.80646812915802,-0.8419868350028992,-0.5651749968528748,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.80646812915802,0.6302168965339661,0.2166484375245487,1,1.2796675772950412,0.17625123262405396,3.476005341954233,0.08713151310856011,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
11,agreement_indexing_density,mean,11,758,0.8260605335235596,0.8179236054420471,0.6730161905288696,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8260605335235596,0.4925585389137268,0.1609196267568339,1,1.6770809320356674,0.33350199460983276,5.9901955074744135,0.11631500190147609,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
11,agreement_indexing_density,final,3,8113,0.8603767156600952,0.6696402430534363,0.7119486331939697,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8603767156600952,0.5856466889381409,0.19290208275644824,1,1.4691054041816205,0.27473002672195435,4.465311032181012,0.102626679685789,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
12,optionality_vs_obligatoriness_of_marking,mean,22,9607,0.4039496183395386,0.5193761587142944,0.5383659601211548,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.4039496183395386,0.26462677121162415,0.07906410870596002,1,1.5264881043214513,0.13932284712791443,5.650054789982076,0.11582951291119814,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
12,optionality_vs_obligatoriness_of_marking,final,13,15899,-0.22438062727451324,-0.1414213478565216,0.0,True,False,0.0004997501249375312,0.001999000499750125,True,False,False,0.22438062727451324,0.04999999701976776,0.0028221667863619635,1,4.4876128129728325,0.17438063025474548,21.44551333453225,0.6709041509176553,True,False,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
13,redundancy_cumulative_exponence,mean,13,9749,-0.6812930107116699,-0.8364554643630981,-0.774949848651886,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.6812930107116699,0.2357785999774933,0.0732329115510369,1,2.8895455769807104,0.44551441073417664,8.995451402065378,0.19259838440274668,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
13,redundancy_cumulative_exponence,final,1,16084,0.6644747853279114,0.6714550256729126,0.6889638304710388,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.6644747853279114,0.686457633972168,0.29699376865457267,2,0.9679763942356451,-0.021982848644256592,2.180677952462134,0.05425510010704211,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
14,definiteness_and_specificity,mean,11,13819,-0.5076863169670105,-0.48264071345329285,-0.5278450846672058,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.5076863169670105,0.37354034185409546,0.08552421212721711,1,1.3591204485359505,0.13414597511291504,5.477411029908889,0.13210228096268223,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
14,definiteness_and_specificity,final,22,15772,-0.38305559754371643,-0.25731420516967773,-0.5520692467689514,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.38305559754371643,0.21528981626033783,0.04205561754031059,1,1.779255536548505,0.1677657812833786,5.962385276422615,0.1893292430763511,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
15,number_marking,mean,6,8113,0.7615175843238831,0.2035120129585266,-0.04489539936184883,True,False,0.0004997501249375312,0.0004997501249375312,True,False,False,0.7615175843238831,0.8845422267913818,0.24649688557315713,2,0.8609171628654039,-0.12302464246749878,2.6890136507977043,0.0734000201440851,True,False,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
15,number_marking,final,14,8113,0.4787600636482239,0.23209506273269653,0.23468278348445892,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.4787600636482239,0.8603767156600952,0.202687125115727,3,0.5564539985033314,-0.38161665201187134,1.5476563812692803,0.05710702626427791,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
16,gender_noun_class,mean,8,5205,0.8970929384231567,0.9079066514968872,0.9085553884506226,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8970929384231567,0.5683262944221497,0.18723774092415205,1,1.5784821980395667,0.3287666440010071,5.153545120196147,0.10941005267290094,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
16,gender_noun_class,final,24,1825,0.2924792170524597,0.3127022385597229,0.1995481550693512,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.2924792170524597,0.18518660962581635,0.007703791444118206,1,1.5793756235585081,0.10729260742664337,8.919135714770679,0.4932802451670634,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
17,animacy_and_humanness,mean,13,3104,0.4994560480117798,0.5734819173812866,0.03527933359146118,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.4994560480117798,0.5775051116943359,0.13642088929788235,2,0.8648513024351094,-0.07804906368255615,3.232717309459442,0.08581909652790229,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
17,animacy_and_humanness,final,16,6618,0.33679601550102234,0.028152771294116974,0.7185975313186646,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.33679601550102234,0.4129703938961029,0.15128403004163352,2,0.8155451830906676,-0.07617437839508057,1.9009938654830463,0.05400077978117256,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
18,person_marking_and_person_hierarchy,mean,23,13235,0.37755656242370605,0.20801372826099396,0.26984357833862305,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.37755656242370605,0.32727617025375366,0.10221443615423945,1,1.1536329153783713,0.05028039216995239,3.4956582847195405,0.08651776371137046,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
18,person_marking_and_person_hierarchy,final,24,4025,-0.3343408405780792,-0.37720635533332825,-0.40320464968681335,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.3343408405780792,0.32346442341804504,0.03924355049354908,1,1.033624770987496,0.01087641716003418,3.6876138389178053,0.17928667570246934,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
