variable_id,variable,target_feature,intervention_side,control_rank,control_feature,matching_distance,target_side_mean_activation,control_side_mean_activation,target_side_fire_rate,control_side_fire_rate,target_decoder_norm,control_decoder_norm
28,negation_and_polarity_structure,4382,changed,1,1385,0.046244633384118335,0.005501268897205591,0.004250583704560995,0.4350000023841858,0.4124999940395355,1.0,1.0
28,negation_and_polarity_structure,4382,changed,2,6900,0.07693951340592879,0.005501268897205591,0.00355296372435987,0.4350000023841858,0.39750000834465027,1.0,1.0
28,negation_and_polarity_structure,4382,changed,3,8685,0.0807852890060275,0.005501268897205591,0.004711952991783619,0.4350000023841858,0.39500001072883606,1.0,1.0
29,quantifier_scope_and_distributivity,8551,changed,1,1858,0.03218613684491957,0.050832685083150864,0.03810478374361992,0.9075000286102295,0.9175000190734863,1.0,1.0
29,quantifier_scope_and_distributivity,8551,changed,2,7247,0.18764936627150236,0.050832685083150864,0.04282509163022041,0.9075000286102295,0.9975000023841858,1.0,1.0
29,quantifier_scope_and_distributivity,8551,changed,3,9728,0.2016024242672759,0.050832685083150864,0.033530283719301224,0.9075000286102295,1.0,1.0,1.0
30,conditional_and_counterfactual_marking,11810,changed,1,6944,0.10740638072289223,0.016143586486577988,0.008645465597510338,0.5674999952316284,0.6175000071525574,1.0,1.0
30,conditional_and_counterfactual_marking,11810,changed,2,758,0.21485235450961201,0.016143586486577988,0.006181319244205952,0.5674999952316284,0.4650000035762787,1.0,1.0
30,conditional_and_counterfactual_marking,11810,changed,3,6216,0.22949454831938024,0.016143586486577988,0.0207209475338459,0.5674999952316284,0.6800000071525574,1.0,1.0
31,subordination_and_embedding,11461,changed,1,7247,0.02596975791914724,0.06597477197647095,0.03864803537726402,1.0,1.0,1.0,1.0
31,subordination_and_embedding,11461,changed,2,8041,0.03343046638830339,0.06597477197647095,0.03092782013118267,1.0,1.0,1.0,1.0
31,subordination_and_embedding,11461,changed,3,9728,0.03739249316440214,0.06597477197647095,0.026851337403059006,1.0,1.0,1.0,1.0
32,quotation_and_reported_speech_structure,1754,basis,1,6618,0.20823111570959857,0.04297691211104393,0.03961241617798805,0.7524999976158142,0.6499999761581421,1.0,1.0
32,quotation_and_reported_speech_structure,1754,basis,2,5205,0.3067570570286446,0.04297691211104393,0.010375414043664932,0.7524999976158142,0.6150000095367432,1.0,1.0
32,quotation_and_reported_speech_structure,1754,basis,3,11461,0.37242910588089884,0.04297691211104393,0.024956274777650833,0.7524999976158142,0.574999988079071,1.0,1.0
33,discourse_relation_marking,9728,basis,1,8041,0.0010371269216162687,0.03205912560224533,0.03313005715608597,1.0,1.0,1.0,1.0
33,discourse_relation_marking,9728,basis,2,7247,0.047717322612992136,0.03205912560224533,0.08250010758638382,1.0,1.0,1.0,1.0
33,discourse_relation_marking,9728,basis,3,6618,0.46198133339107095,0.03205912560224533,0.060284584760665894,1.0,0.7825000286102295,1.0,1.0
34,topic_comment_structure,1302,changed,1,1887,0.0017589881231396126,0.04006367176771164,0.04189474135637283,1.0,1.0,1.0,1.0
34,topic_comment_structure,1302,changed,2,8041,0.006099704463698459,0.04006367176771164,0.03373889997601509,1.0,1.0,1.0,1.0
34,topic_comment_structure,1302,changed,3,7247,0.006722317541997196,0.04006367176771164,0.04707886278629303,1.0,1.0,1.0,1.0
35,focus_and_given_new_marking,7136,changed,1,1385,0.036169349883587706,0.010653708130121231,0.009472557343542576,0.5199999809265137,0.5024999976158142,1.0,1.0
35,focus_and_given_new_marking,7136,changed,2,1887,0.04222153666005078,0.010653708130121231,0.012901446782052517,0.5199999809265137,0.5,1.0,1.0
35,focus_and_given_new_marking,7136,changed,3,932,0.10296120470410369,0.010653708130121231,0.013650932349264622,0.5199999809265137,0.4699999988079071,1.0,1.0
36,genericity_and_kind_level_reference,1858,changed,1,6944,0.03817066044707539,0.007848763838410378,0.004658304620534182,0.32249999046325684,0.3400000035762787,1.0,1.0
36,genericity_and_kind_level_reference,1858,changed,2,4426,0.22409113255564098,0.007848763838410378,0.003733912715688348,0.32249999046325684,0.21250000596046448,1.0,1.0
