variable_id,variable,inspection_grade,ablation_role,target_feature,intervention_side,baseline_downstream_score,intervention_downstream_score,mean_attenuation,attenuation_fraction,attenuation_ci_low,attenuation_ci_high,attenuation_bootstrap_p,mean_final_repr_cosine_to_baseline,target_train_basis_mean_activation,target_train_changed_mean_activation,target_train_basis_fire_rate,target_train_changed_fire_rate,matched_control_mean_attenuation,target_minus_control_attenuation,target_minus_control_ci_low,target_minus_control_ci_high,target_minus_control_bootstrap_p,target_vs_control_fdr_q,control_features,causal_screen_category,final_repr_distortion,abs_attenuation_fraction
26,evidentiality,B,causal_worth_testing,6900,changed,-0.3860616385936737,-0.3899653255939483,0.0039036351442337,0.0101114297666395,0.0026183811128139,0.0051182228475809,0.000999500249875,0.999998184435514,0.0034340214915573,0.0373503714799881,0.2275000065565109,0.8025000095367432,0.0027935409452766,0.0011100943479686,-0.0013936364129767,0.0036103924941853,0.3828085957021489,0.4253428841134988,"6618,1302,11461",positive_control_advantage,1.815564485974086e-06,0.0101114297666395
2,basic_constituent_order,C,exploratory_causal,932,changed,0.170770838856697,0.1694312691688537,0.0013395452499389,0.0078441100301852,-0.0001477085649967,0.003000638782978,0.0879560219890055,0.9999993111188188,0.0003339181712362,0.0165189746767282,0.0450000017881393,0.6549999713897705,0.0002539330453146,0.0010856121541291,-0.0007304345148149,0.003255276243457,0.2838580709645177,0.34407038904790027,"1887,1302,7136",positive_control_advantage,6.888811812100215e-07,0.0078441100301852
7,voice_and_agent_prominence,A,primary_causal,8235,changed,0.5840420722961426,0.5808610320091248,0.0031810307502746,0.0054465780825832,0.0013844080865383,0.0051133516132831,0.0019990004997501,0.9999961823990215,0.0032400363124907,0.0365388207137584,0.2524999976158142,0.9725000262260436,0.0026773670688271,0.0005036636913428,-0.0014980296372959,0.0026512631387886,0.6456771614192903,0.6796601699150425,"9728,8041,7247",positive_control_advantage,3.817600978450741e-06,0.0054465780825832
30,conditional_and_counterfactual_marking,B,causal_worth_testing,11810,changed,0.4710842072963714,0.4710514843463897,3.275096416473389e-05,6.952252624365605e-05,-0.0001324089318513,0.0001973215490579,0.6656671664167916,0.999999935913281,0.0008135774987749,0.0161435883492231,0.0949999988079071,0.5674999952316284,-0.0001690921344561,0.0002018430974567,-0.0002124256439128,0.0006153579252058,0.3478260869565217,0.4055115299493111,"6944,758,6216",positive_control_advantage,6.408671904267749e-08,6.952252624365605e-05
3,nominal_modifier_order,C,exploratory_causal,4426,basis,0.1125929802656173,0.1124719455838203,0.0001210322976112,0.0010749542051885,-6.112843751907349e-05,0.0004242253303527,0.7616191904047976,0.9999999588446664,0.0158238131552934,0.0010174124035984,0.3474999964237213,0.1049999967217445,2.0010294974781573e-05,0.0001010220158059,-0.0001880136733561,0.0004777691998497,0.5967016491754122,0.6450828639734187,"8685,1385,12995",positive_control_advantage,4.115533358550749e-08,0.0010749542051885
40,orthographic_and_tokenization_interface,B,causal_worth_testing,3132,basis,-0.0112925423309206,-0.0114044537767767,0.0001119163632392,0.0099106436761228,-0.0002183581665158,0.0004425298273563,0.4947526236881559,0.9999998367931212,0.0035974294878542,0.0008672132971696,0.2549999952316284,0.0524999983608722,0.0005111236241646,-0.0003992072682012,-0.0008721508434173,3.1831818094360485e-05,0.0739630184907546,0.10201795653897186,"15325,8235,14406",positive_nonspecific,1.6320687878934592e-07,0.0099106436761228
39,deixis_and_perspective_anchoring,A,primary_causal,14441,basis,0.1105561330914497,0.1097560003399849,0.0008001402020454,0.0072374112559054,0.0001187875866889,0.0016874790415167,0.031984007996002,0.9999997469673632,0.0158024281263351,0.000182851406862,0.6075000166893005,0.0149999996647238,0.0020444996189326,-0.0012443593790521,-0.003101059215769,0.000481475995286,0.1799100449775112,0.224887556221889,"5205,6216,6618",positive_nonspecific,2.530326368432867e-07,0.0072374112559054
25,epistemic_modality,A,primary_causal,15221,changed,0.255950927734375,0.2523397803306579,0.003611162006855,0.0141088060856832,0.0017412035651504,0.0056884021684527,0.000999500249875,0.9999994256939432,0.0171786993741989,0.0447753183543682,0.7174999713897705,1.0,0.0078122289851307,-0.0042010659608058,-0.0064851554388878,-0.0018036432863445,0.0019990004997501,0.003075385384230923,"8041,9728,7247",positive_nonspecific,5.743060568219605e-07,0.0141088060856832
34,topic_comment_structure,D,diagnostic_control,1302,changed,0.6247079968452454,0.6222013831138611,0.0025065901875495,0.004012418922453,0.0014765655994415,0.0035805232003331,0.000999500249875,0.99999519089152,0.0350817814469337,0.0400636717677116,1.0,1.0,0.0069398009218275,-0.0044332112267147,-0.0059334090166667,-0.0031118089957453,0.000999500249875,0.0016658337497916665,"1887,8041,7247",positive_nonspecific,4.8091084799972705e-06,0.004012418922453
31,subordination_and_embedding,B,causal_worth_testing,11461,changed,0.0248903725296258,0.0243262331932783,0.0005641150474548,0.0226639857150949,-0.0026792720556259,0.003674233585596,0.7216391804097951,0.9999846812744454,0.0011783890658989,0.0659747868776321,0.0399999991059303,1.0,0.0055876327678561,-0.0050235179456649,-0.0083892869714763,-0.0016413047419046,0.0039980009995002,0.005922964443704,"7247,8041,9728",positive_nonspecific,1.5318725554602786e-05,0.0226639857150949
15,number_marking,B,causal_worth_testing,8685,changed,0.1353029459714889,0.1345214396715164,0.0007814946025609,0.0057758875606867,0.0001141034122556,0.0015305887516587,0.0259870064967516,0.999999459726432,0.0010641143890097,0.023012263700366,0.0350000001490116,0.7574999928474426,0.0256258100271224,-0.0248443165584467,-0.0302106599230901,-0.0194084544071811,0.000999500249875,0.0016658337497916665,"5205,758,9728",positive_nonspecific,5.402735679949089e-07,0.0057758875606867
