variable_id,variable,primary_mechanistic,inspection_grade,ablation_category,steering_category,split,dose,primary_dose,intervention_kind,target_feature,intervention_feature,feature_high_side,train_target_activation_gap,steering_coefficient,n_pairs,bos_fallback_pairs,baseline_mean_logit_margin,steered_mean_logit_margin,mean_behavioral_effect,behavioral_effect_ci_low,behavioral_effect_ci_high,behavioral_effect_bootstrap_p,baseline_high_token_preference_rate,steered_high_token_preference_rate,high_token_preference_rate_change
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,0.5,False,matched_control,9728,8041,basis,0.0019506383687258,0.0009753191843629,50,26,-1.8880289459228516,-1.8880587577819825,-2.9811859130859376e-05,-8.36172103881836e-05,2.922725677490231e-05,0.3078460769615192,0.32,0.32,0.0
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,0.5,False,matched_control,9728,7247,basis,0.0019506383687258,0.0009753191843629,50,26,-1.8880289459228516,-1.8879494094848632,7.953643798828126e-05,1.7317771911621093e-05,0.0001325931549072265,0.014992503748125937,0.32,0.32,0.0
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,0.5,False,matched_control,9728,6618,basis,0.0019506383687258,0.0009753191843629,50,26,-1.8880289459228516,-1.8880780029296875,-4.90570068359375e-05,-0.00012253570556640625,2.658843994140625e-05,0.18490754622688654,0.32,0.32,0.0
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,0.5,False,target_vs_controls,9728,-1,basis,0.0019506383687258,,50,26,-1.8880289459228516,,-7.294972737630209e-05,-0.00013291263580322266,-7.507801055908206e-06,0.02498750624687656,0.32,,
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,1.0,True,target,9728,9728,basis,0.0019506383687258,0.0019506383687258,50,26,-1.8880289459228516,-1.8881880950927734,-0.000159149169921875,-0.0002845010757446289,-2.5910377502441566e-05,0.017991004497751123,0.32,0.32,0.0
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,1.0,True,matched_control,9728,8041,basis,0.0019506383687258,0.0019506383687258,50,26,-1.8880289459228516,-1.8880928993225097,-6.395339965820313e-05,-0.00017326974868774414,4.791784286499021e-05,0.23788105947026486,0.32,0.32,0.0
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,1.0,True,matched_control,9728,7247,basis,0.0019506383687258,0.0019506383687258,50,26,-1.8880289459228516,-1.887884521484375,0.0001444244384765625,3.111839294433594e-05,0.0002483100891113281,0.017991004497751123,0.32,0.32,0.0
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,1.0,True,matched_control,9728,6618,basis,0.0019506383687258,0.0019506383687258,50,26,-1.8880289459228516,-1.8881321144104004,-0.00010316848754882813,-0.00024337053298950195,3.5021305084228404e-05,0.14792603698150925,0.32,0.32,0.0
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,1.0,True,target_vs_controls,9728,-1,basis,0.0019506383687258,,50,26,-1.8880289459228516,,-0.00015158335367838544,-0.00027061398824055987,-1.904853185017913e-05,0.028985507246376812,0.32,,
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,2.0,False,target,9728,9728,basis,0.0019506383687258,0.0039012767374516,50,26,-1.8880289459228516,-1.8883432960510254,-0.00031435012817382813,-0.0005683922767639161,-3.2402992248535485e-05,0.030984507746126936,0.32,0.32,0.0
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,2.0,False,matched_control,9728,8041,basis,0.0019506383687258,0.0039012767374516,50,26,-1.8880289459228516,-1.8881714057922363,-0.00014245986938476562,-0.00036516618728637694,9.146690368652327e-05,0.2288855572213893,0.32,0.32,0.0
