variable_id,variable,sae_tier,sae_feature_id,sae_train_effect,sae_validation_effect,sae_test_effect,sae_specificity_rank,sae_specificity_ratio,sae_marker_direction,sae_domain_direction,probe_l12_delta_val_auroc,probe_l12_delta_test_auroc,probe_l12_sentence_val_auroc,probe_l12_sentence_test_auroc,probe_best_sentence_test_auroc,probe_best_sentence_layer,probe_text_test_auroc,probe_activation_minus_text,probe_delta_direction_test_auroc,probe_split_control_strength,probe_seed_count,probe_level1_pass_count,probe_level3_pass_count,probe_level4_pass_count,probe_core_134_pass_count,probe_core_status,probe_learned_direction_viability_status,combined_category
26,evidentiality,D,11375,0.8759427070617676,0.02790474146604538,-0.7426843047142029,1,3.847660866349966,0.0,0.0,0.7051999999999999,0.1948,0.6528,0.2832,0.483,6,0.106,0.377,0.702,strong_test_marker_and_domain_holdout,3,0,3,0,0,no_core_pass_0of3,not_run,both_weak_or_unstable
27,mirativity_stance_and_affect_marking,A,1887,0.9746910333633423,0.8548627495765686,0.9517486095428467,1,1.3951621428089385,1.0,1.0,1.0,1.0,1.0,1.0,0.832,0,0.852,-0.019,1.0,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,passed,convergent_probe_and_sparse_SAE
28,negation_and_polarity_structure,B2,4382,0.6044781804084778,0.28164535760879517,0.3861485421657562,1,2.149028944139654,0.6666666666666666,1.0,0.7232,0.96,0.7188,0.8144,0.827,4,0.856,-0.029,0.96,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,not_run,convergent_probe_and_sparse_SAE
29,quantifier_scope_and_distributivity,B2,8551,0.7004773616790771,0.47481101751327515,0.3130183815956116,1,1.2730067829077398,0.5,1.0,1.0,1.0,0.9068,0.8116,0.86,1,0.854,0.006,0.974,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,passed,convergent_probe_and_sparse_SAE
30,conditional_and_counterfactual_marking,A,15951,0.7184366583824158,0.17895762622356415,0.30425888299942017,1,1.8750612238707176,1.0,1.0,0.1504,0.9356,0.49879999999999997,0.8735999999999999,0.707,15,0.581,0.126,0.928,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,not_run,convergent_probe_and_sparse_SAE
31,subordination_and_embedding,A,7643,0.9267303943634033,0.9114087820053101,0.6489808559417725,1,1.973788827737118,1.0,1.0,1.0,0.6731999999999999,1.0,0.5,0.5,0,0.5,0.0,0.747,strong_test_marker_and_domain_holdout,3,0,3,0,0,no_core_pass_0of3,not_run,SAE_strong_probe_not_robust
32,quotation_and_reported_speech_structure,A,1754,-0.8295131921768188,-0.8591980934143066,-0.9035183191299438,1,2.7008488887245767,1.0,1.0,0.9968,1.0,0.9672000000000001,1.0,0.998,6,0.942,0.056,1.0,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,passed,convergent_probe_and_sparse_SAE
33,discourse_relation_marking,D,9728,-0.8808950781822205,-0.11160959303379059,0.8860236406326294,3,0.9462949674398633,0.0,0.0,0.4804,0.2004,0.4548,0.3076,0.459,6,0.046,0.413,0.086,strong_test_marker_and_domain_holdout,3,0,0,0,0,no_core_pass_0of3,not_run,both_weak_or_unstable
34,topic_comment_structure,B2,10896,-0.6802915930747986,-0.2903422713279724,-0.6094537973403931,1,1.4702691833116046,1.0,0.6666666666666666,0.944,0.9995999999999999,0.8376,0.9380000000000001,0.886,7,0.76,0.125,1.0,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,failed,convergent_probe_and_sparse_SAE
35,focus_and_given_new_marking,B2,7136,0.6991597414016724,0.4188220798969269,0.10158746689558029,1,1.3446213958875517,0.5,0.6666666666666666,0.8144,0.9279999999999999,0.49560000000000004,0.8555999999999999,0.898,0,0.991,-0.094,1.0,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,not_run,convergent_probe_and_sparse_SAE
36,genericity_and_kind_level_reference,B2,5836,0.37232956290245056,0.23299765586853027,0.34488049149513245,2,0.6125380761530906,0.5,1.0,0.8824000000000001,0.9372,0.7484000000000001,0.8464,0.806,12,0.862,-0.055,0.947,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,not_run,convergent_probe_and_sparse_SAE
37,social_deixis_honorifics_status_encoding,B2,2081,0.8197708129882812,0.42160817980766296,0.3720954358577728,1,2.770873284695797,0.5,0.6666666666666666,1.0,0.75,0.9088,0.5524,0.554,3,0.728,-0.173,0.75,strong_test_marker_and_domain_holdout,3,0,3,0,0,no_core_pass_0of3,not_run,SAE_strong_probe_not_robust
38,speech_act_force_and_request_directness,A,3396,0.4395684003829956,0.05731476843357086,0.40028321743011475,1,1.5016185486613225,1.0,1.0,0.9783999999999999,0.9068,0.7676000000000001,0.776,0.719,22,0.604,0.115,0.58,strong_test_marker_and_domain_holdout,3,3,0,0,0,no_core_pass_0of3,not_run,SAE_strong_probe_not_robust
39,deixis_and_perspective_anchoring,B2,14441,-0.7022145986557007,-0.3162277638912201,-0.26969051361083984,1,2.0270274199657763,0.5,0.6666666666666666,0.38,0.7312000000000001,0.49,0.6308,0.597,0,0.491,0.106,0.882,strong_test_marker_and_domain_holdout,3,0,3,0,0,no_core_pass_0of3,not_run,SAE_strong_probe_not_robust
40,orthographic_and_tokenization_interface,D,3132,-0.41800636053085327,-0.1414213478565216,0.24604785442352295,3,0.8358437310495543,0.5,0.0,0.29200000000000004,0.4992,0.4928,0.5084,0.49,0,0.5,-0.01,0.518,strong_test_marker_and_domain_holdout,3,0,0,0,0,no_core_pass_0of3,not_run,both_weak_or_unstable
