variable_id,variable,inspection_grade,ablation_role,split,target_feature,intervention_side,control_features,target_mean_attenuation,matched_control_mean_attenuation,target_minus_control_attenuation,target_minus_control_ci_low,target_minus_control_ci_high,target_minus_control_bootstrap_p
13,redundancy_cumulative_exponence,B,causal_worth_testing,test,4814,changed,"7247,8041,5205",-0.002572060329839587,0.004830972291529179,-0.007403032802976668,-0.009476017365144798,-0.005375732556130971,0.0009995002498750624
14,definiteness_and_specificity,C,exploratory_causal,val,12995,basis,"3132,13197,15325",0.0027083074674010277,0.0005540137062780559,0.0021542937716003507,0.0002372189786983654,0.0044887873493134976,0.02798600699650175
14,definiteness_and_specificity,C,exploratory_causal,test,12995,basis,"3132,13197,15325",0.00428109522908926,0.0001006956008495763,0.0041803996515227485,0.0017801863072236302,0.007073685009017934,0.0009995002498750624
15,number_marking,B,causal_worth_testing,val,8685,changed,"5205,758,9728",0.0008799819624982774,0.01705777831375599,-0.016177796563133597,-0.02007249843655154,-0.012091530019184574,0.0009995002498750624
15,number_marking,B,causal_worth_testing,test,8685,changed,"5205,758,9728",0.0007814946002326906,0.025625810027122498,-0.024844316558446735,-0.030210659923090133,-0.01940845440718113,0.0009995002498750624
16,gender_noun_class,A,primary_causal,val,5205,changed,"7247,8041,9728",0.20811334252357483,-0.007455246523022652,0.2155685816705227,0.183238747674739,0.24913663882389664,0.0009995002498750624
16,gender_noun_class,A,primary_causal,test,5205,changed,"7247,8041,9728",0.21767178177833557,-0.010438911616802216,0.22811068914830684,0.19924417351186277,0.2535874445824884,0.0009995002498750624
17,animacy_and_humanness,D,diagnostic_control,val,6618,changed,"5205,7247,8041",0.028135553002357483,-0.005364598706364632,0.03350015225820244,0.026003165553323927,0.04118553383246761,0.0009995002498750624
17,animacy_and_humanness,D,diagnostic_control,test,6618,changed,"5205,7247,8041",0.13384811580181122,-0.005029247608035803,0.13887736330274492,0.11158841508754994,0.1648137116092257,0.0009995002498750624
18,person_marking_and_person_hierarchy,B,causal_worth_testing,val,13235,changed,"12995,6944,6216",4.5326949475565925e-05,0.001610825303941965,-0.0015654983400600032,-0.0031232264831050995,-4.5488508854760156e-05,0.04097951024487756
18,person_marking_and_person_hierarchy,B,causal_worth_testing,test,13235,changed,"12995,6944,6216",-0.0001925891701830551,0.0017180885188281536,-0.0019106776925036683,-0.0029741153966024287,-0.0010402751472283855,0.0009995002498750624
19,inclusive_exclusive_distinction,C,exploratory_causal,val,6062,basis,"9728,8041,15325",0.0007069853600114584,-0.0017733335262164474,0.002480318814923521,0.0015060133004517412,0.0033867140798247417,0.0009995002498750624
19,inclusive_exclusive_distinction,C,exploratory_causal,test,6062,basis,"9728,8041,15325",0.0011093365028500557,-0.002123537939041853,0.003232874379027635,0.0023195359884703066,0.004193822742352492,0.0009995002498750624
20,pronoun_richness_and_reduction,A,primary_causal,val,6944,basis,"8041,9728,6618",0.003385658375918865,-0.0056502558290958405,0.009035913900006562,0.00728635431767907,0.010907176379172595,0.0009995002498750624
20,pronoun_richness_and_reduction,A,primary_causal,test,6944,basis,"8041,9728,6618",0.004846399649977684,-0.006867313291877508,0.011713712570490316,0.008863990841142368,0.014738497515936616,0.0009995002498750624
21,possession_and_alienability,C,exploratory_causal,val,15325,changed,"4426,7247,8041",0.033407844603061676,-0.004385469481348991,0.03779331292957067,0.025214328982401637,0.052378730296855795,0.0009995002498750624
21,possession_and_alienability,C,exploratory_causal,test,15325,changed,"4426,7247,8041",0.03117915615439415,-0.002640986116603017,0.03382014291360974,0.02153030703368131,0.04796281902620101,0.0009995002498750624
22,tense_prominence,C,exploratory_causal,val,1385,basis,"8551,3132,758",0.0003545355866663158,4.4703727326123044e-05,0.0003098318405682221,-0.00046044518468261233,0.0010866007449876628,0.4567716141929036
22,tense_prominence,C,exploratory_causal,test,1385,basis,"8551,3132,758",0.0,0.00020007399143651128,-0.000200074013628182,-0.0006247754732030444,0.00021516411514676252,0.3548225887056472
23,aspect_and_event_structure,B,causal_worth_testing,val,6216,basis,"8685,6618,758",0.0007846907246857882,-0.005168660078197718,0.005953351295611356,0.004441643910795392,0.007430564155292813,0.0009995002498750624
23,aspect_and_event_structure,B,causal_worth_testing,test,6216,basis,"8685,6618,758",0.0020919579546898603,-0.009838562458753586,0.011930519801098853,0.008031069683958777,0.016649031293869482,0.0009995002498750624
24,modality_and_mood,A,primary_causal,val,13197,changed,"15325,6618,5205",0.005151994060724974,-0.003950030077248812,0.009102024181156593,0.005764781309102546,0.01306037822051439,0.0009995002498750624
24,modality_and_mood,A,primary_causal,test,13197,changed,"15325,6618,5205",0.0083335991948843,-0.002287991112098098,0.01062158985863789,0.007161742268901435,0.01418105509680026,0.0009995002498750624
25,epistemic_modality,A,primary_causal,val,15221,changed,"8041,9728,7247",0.00811936054378748,0.006417254917323589,0.0017021051014307887,-0.0007606094600923825,0.0043902467355364915,0.19290354822588707
25,epistemic_modality,A,primary_causal,test,15221,changed,"8041,9728,7247",0.003611162072047591,0.007812228985130787,-0.004201065960805863,-0.006485155438887887,-0.0018036432863445962,0.001999000499750125
26,evidentiality,B,causal_worth_testing,val,6900,changed,"6618,1302,11461",0.006900719366967678,0.0012667583068832755,0.005633960913401097,0.003640477735491004,0.007635293989966154,0.0009995002498750624
26,evidentiality,B,causal_worth_testing,test,6900,changed,"6618,1302,11461",0.0039036350790411234,0.002793540945276618,0.0011100943479686975,-0.0013936364129767754,0.003610392494185361,0.3828085957021489
27,mirativity_stance_and_affect_marking,C,exploratory_causal,val,1887,changed,"8041,9728,7247",0.004241263493895531,-0.005135549698024988,0.00937681288458407,0.008142896622302942,0.010793946735793723,0.0009995002498750624
27,mirativity_stance_and_affect_marking,C,exploratory_causal,test,1887,changed,"8041,9728,7247",0.004160265903919935,-0.006421057973057032,0.010581324819941073,0.009448547237494494,0.011716600678744724,0.0009995002498750624
28,negation_and_polarity_structure,D,diagnostic_control,val,4382,changed,"1385,6900,8685",0.0012930402299389243,-7.983585237525403e-05,0.0013728759704827098,0.0003123556256505253,0.002512737611996272,0.01199400299850075
28,negation_and_polarity_structure,D,diagnostic_control,test,4382,changed,"1385,6900,8685",-0.0003660872462205589,0.0006720931269228458,-0.0010381802805932239,-0.002388281749015732,0.00038939298739569474,0.15792103948025987
29,quantifier_scope_and_distributivity,B,causal_worth_testing,val,8551,changed,"1858,7247,9728",0.010959718376398087,-0.004875532351434231,0.015835250497912057,0.013563167036656523,0.01817707763658836,0.0009995002498750624
29,quantifier_scope_and_distributivity,B,causal_worth_testing,test,8551,changed,"1858,7247,9728",0.005820657592266798,-0.0024754086043685675,0.008296066053881078,0.006672550629493344,0.01001812292920658,0.0009995002498750624
