variable_id,variable,inspection_grade,ablation_role,split,intervention_kind,target_feature,intervention_feature,intervention_side,n_pairs,train_direction_norm,target_train_basis_mean_activation,target_train_changed_mean_activation,target_train_basis_fire_rate,target_train_changed_fire_rate,baseline_downstream_score,intervention_downstream_score,mean_attenuation,attenuation_fraction,attenuation_ci_low,attenuation_ci_high,attenuation_bootstrap_p,mean_final_repr_cosine_to_baseline
2,basic_constituent_order,C,exploratory_causal,val,matched_control,932,1302,changed,50,0.8723062872886658,0.00033391817123629153,0.01651897467672825,0.04500000178813934,0.6549999713897705,0.8003606200218201,0.8053902387619019,-0.005029543936252594,-0.006284097206226206,-0.0057345915790647265,-0.0043493570778518915,0.0009995002498750624,0.9999970985306524
2,basic_constituent_order,C,exploratory_causal,val,matched_control,932,7136,changed,50,0.8723062872886658,0.00033391817123629153,0.01651897467672825,0.04500000178813934,0.6549999713897705,0.8003606200218201,0.7991679310798645,0.0011928008496761321,0.0014903292588828434,6.466667726635933e-05,0.0023701281175017353,0.04097951024487756,0.9999982990026552
2,basic_constituent_order,C,exploratory_causal,test,target,932,932,changed,50,0.8723062872886658,0.00033391817123629153,0.01651897467672825,0.04500000178813934,0.6549999713897705,0.17077083885669708,0.16943126916885376,0.0013395452499389649,0.00784411003018524,-0.00014770856499671933,0.0030006387829780577,0.0879560219890055,0.9999993111188187
2,basic_constituent_order,C,exploratory_causal,test,matched_control,932,1887,changed,50,0.8723062872886658,0.00033391817123629153,0.01651897467672825,0.04500000178813934,0.6549999713897705,0.17077083885669708,0.16966880857944489,0.001102001667022705,0.006453102147887518,0.0007050674259662628,0.0015298292487859724,0.0009995002498750624,0.9999995953944615
2,basic_constituent_order,C,exploratory_causal,test,matched_control,932,1302,changed,50,0.8723062872886658,0.00033391817123629153,0.01651897467672825,0.04500000178813934,0.6549999713897705,0.17077083885669708,0.17468561232089996,-0.003914802670478821,-0.022924304270496326,-0.004856831759214401,-0.0030162641406059265,0.0009995002498750624,0.9999976036271027
2,basic_constituent_order,C,exploratory_causal,test,matched_control,932,7136,changed,50,0.8723062872886658,0.00033391817123629153,0.01651897467672825,0.04500000178813934,0.6549999713897705,0.17077083885669708,0.16719619929790497,0.0035746002197265623,0.02093214651669071,0.0014548963606357574,0.005742785111069678,0.001999000499750125,0.9999975853868759
3,nominal_modifier_order,C,exploratory_causal,val,target,4426,4426,basis,50,0.8535047769546509,0.015823813155293465,0.0010174124035984278,0.3474999964237213,0.10499999672174454,0.02239079400897026,0.022474033758044243,-8.323982357978821e-05,-0.0037175914148663263,-0.00027487173676490786,5.25522232055664e-05,0.2928535732133933,0.9999999394499836
3,nominal_modifier_order,C,exploratory_causal,val,matched_control,4426,8685,basis,50,0.8535047769546509,0.015823813155293465,0.0010174124035984278,0.3474999964237213,0.10499999672174454,0.02239079400897026,0.022309578955173492,8.121378719806671e-05,0.0036271061743290848,-3.115922212600708e-05,0.0002748005837202072,0.7526236881559221,0.999999926778977
3,nominal_modifier_order,C,exploratory_causal,val,matched_control,4426,1385,basis,50,0.8535047769546509,0.015823813155293465,0.0010174124035984278,0.3474999964237213,0.10499999672174454,0.02239079400897026,0.022452615201473236,-6.182055920362473e-05,-0.0027609811058445723,-0.00044294449873268603,0.0003528022281825541,0.7636181909045477,0.9999998446375842
3,nominal_modifier_order,C,exploratory_causal,val,matched_control,4426,12995,basis,50,0.8535047769546509,0.015823813155293465,0.0010174124035984278,0.3474999964237213,0.10499999672174454,0.02239079400897026,0.022391686215996742,-8.89897346496582e-07,-3.974389412631231e-05,-2.669692039489746e-06,0.0,0.7446276861569215,0.9999999602084003
3,nominal_modifier_order,C,exploratory_causal,test,target,4426,4426,basis,50,0.8535047769546509,0.015823813155293465,0.0010174124035984278,0.3474999964237213,0.10499999672174454,0.11259298026561737,0.11247194558382034,0.00012103229761123657,0.001074954205188548,-6.112843751907349e-05,0.0004242253303527832,0.7616191904047976,0.9999999588446664
3,nominal_modifier_order,C,exploratory_causal,test,matched_control,4426,8685,basis,50,0.8535047769546509,0.015823813155293465,0.0010174124035984278,0.3474999964237213,0.10499999672174454,0.11259298026561737,0.11263483017683029,-4.184819757938385e-05,-0.0003716767908679568,-0.00013528347015380858,9.738877415657044e-06,0.7016491754122939,0.9999999601264814
3,nominal_modifier_order,C,exploratory_causal,test,matched_control,4426,1385,basis,50,0.8535047769546509,0.015823813155293465,0.0010174124035984278,0.3474999964237213,0.10499999672174454,0.11259298026561737,0.11279696226119995,-0.00020398009568452834,-0.0018116590857025032,-0.0012722868071869016,0.0006173471165820954,0.751624187906047,0.9999995814787731
3,nominal_modifier_order,C,exploratory_causal,test,matched_control,4426,12995,basis,50,0.8535047769546509,0.015823813155293465,0.0010174124035984278,0.3474999964237213,0.10499999672174454,0.11259298026561737,0.11228713393211365,0.00030585914850234986,0.0027165028208756847,7.3260068893432615e-06,0.0007069799378514286,0.029985007496251874,0.9999999056475488
4,case_marking,B,causal_worth_testing,val,target,13269,13269,changed,50,0.8575391173362732,0.0033104203175753355,0.009693346917629242,0.17000000178813934,0.4724999964237213,1.016333818435669,1.0164825916290283,-0.00014863312244415284,-0.0001462443930803439,-0.0012395637780427933,0.0008519578129053112,0.8015992003998001,0.999999613172026
4,case_marking,B,causal_worth_testing,val,matched_control,13269,6618,changed,50,0.8575391173362732,0.0033104203175753355,0.009693346917629242,0.17000000178813934,0.4724999964237213,1.016333818435669,1.0180714130401611,-0.0017376148700714111,-0.001709689118429544,-0.003830670207738876,0.00028722667694091784,0.09695152423788106,0.9999927005539156
4,case_marking,B,causal_worth_testing,val,matched_control,13269,4814,changed,50,0.8575391173362732,0.0033104203175753355,0.009693346917629242,0.17000000178813934,0.4724999964237213,1.016333818435669,1.0211987495422363,-0.004864867776632309,-0.00478668296615404,-0.007766929436475039,-0.002563327699899674,0.0009995002498750624,0.9999939815986133
4,case_marking,B,causal_worth_testing,val,matched_control,13269,12995,changed,50,0.8575391173362732,0.0033104203175753355,0.009693346917629242,0.17000000178813934,0.4724999964237213,1.016333818435669,1.016061544418335,0.0002723085880279541,0.0002679322316038728,0.0,0.0006955552101135254,0.2448775612193903,0.9999999374740008
4,case_marking,B,causal_worth_testing,test,target,13269,13269,changed,50,0.8575391173362732,0.0033104203175753355,0.009693346917629242,0.17000000178813934,0.4724999964237213,0.836494505405426,0.8386960625648499,-0.002201540470123291,-0.002631864831026313,-0.003854236960411072,-0.0006920799911022205,0.010994502748625687,0.9999985597012424
4,case_marking,B,causal_worth_testing,test,matched_control,13269,6618,changed,50,0.8575391173362732,0.0033104203175753355,0.009693346917629242,0.17000000178813934,0.4724999964237213,0.836494505405426,0.8397871255874634,-0.0032926326990127563,-0.003936227527779047,-0.0064878156930208205,-0.000995581477880479,0.004997501249375313,0.9999937584394303
